latitude,longitude,battle_link,location_link
35°03′N,81°37′W,/wiki/Battle_of_Cowpens,"/wiki/Cherokee_County,_South_Carolina"
35°29′N,81°14′W,/wiki/Battle_of_Cowan%27s_Ford,"/wiki/Lincoln_County,_North_Carolina"
,,/wiki/Capture_of_Sint_Eustatius,
36°11′51″N,79°53′59″W,/wiki/Battle_of_Summerfield,"/wiki/Summerfield,_North_Carolina"
36°04′48″N,79°06′39″W,/wiki/Battle_of_Harts_Mill,"/wiki/Hillsborough,_North_Carolina"
36°02′N,79°24′W,/wiki/Battle_of_Haw_River,"/wiki/Alamance_County,_North_Carolina"
36°05′N,79°47′W,/wiki/Battle_of_Wetzell%27s_Mill,"/wiki/Guilford_County,_North_Carolina"
30°25′17″N,87°13′2″W,/wiki/Siege_of_Pensacola,"/wiki/Pensacola,_Florida"
36°05′42″N,79°49′33″W,/wiki/Battle_of_Guilford_Court_House,"/wiki/Greensboro,_North_Carolina"
36°55′29.3″N,76°1′12.4″W,/wiki/Battle_of_Cape_Henry,/wiki/Cape_Henry
33°36′19″N,80°21′8″W,/wiki/Siege_of_Fort_Watson,"/wiki/Summerton,_South_Carolina"
14°55′05″N,23°30′32″W,/wiki/Battle_of_Porto_Praya,/wiki/Praia
37°13′48″N,77°24′18″W,/wiki/Battle_of_Blandford,"/wiki/Petersburg,_Virginia"
34°15′33″N,80°36′33″W,/wiki/Battle_of_Hobkirk%27s_Hill,"/wiki/Camden,_South_Carolina"
14°39′00″N,61°00′54″W,/wiki/Battle_of_Fort_Royal,/wiki/Martinique
48°23′N,4°29′W,/wiki/Action_of_1_May_1781,"/wiki/Brest,_France"
33°44′21″N,80°41′33″W,/wiki/Battle_of_Fort_Motte,/wiki/Fort_Motte
41°17′44″N,73°48′29″W,/wiki/Battle_of_Pine%27s_Bridge,"/wiki/Yorktown,_New_York"
34°47′09″N,78°23′41″W,/wiki/Battle_of_Portevent%27s_Mill,"/wiki/Garland,_North_Carolina"
33°28′12″N,81°58′30″W,/wiki/Siege_of_Augusta,"/wiki/Augusta,_Georgia"
34°10′24″N,82°01′18″W,/wiki/Siege_of_Ninety-Six,"/wiki/Ninety_Six,_South_Carolina"
11°11′0″N,60°44′15″W,/wiki/Invasion_of_Tobago,/wiki/Tobago
36°57′0″N,7°53′17″W,/wiki/Action_of_30_May_1781,/wiki/Cabo_de_Santa_Maria_(Faro)
37°19′N,76°46′W,/wiki/Battle_of_Spencer%27s_Ordinary,"/wiki/James_City_County,_Virginia"
37°08′N,78°03′W,/wiki/Francisco%27s_Fight,"/wiki/Nottoway_County,_Virginia"
37°19′N,76°46′W,/wiki/Battle_of_Green_Spring,"/wiki/James_City_County,_Virginia"
46°08′11″N,60°11′44″W,/wiki/Naval_battle_of_Louisbourg,"/wiki/Sydney,_Nova_Scotia"
54°43′N,2°46′E,/wiki/Battle_of_Dogger_Bank_(1781),/wiki/Dogger_Bank
39°54′24″N,84°0′55″W,/wiki/Battle_of_Piqua,"/wiki/Bethel_Township,_Clark_County,_Ohio"
39°58′N,4°05′E,"/wiki/Invasion_of_Minorca,_1781",/wiki/Menorca
39°04′12″N,84°53′43″W,/wiki/Lochry%27s_Defeat,"/wiki/Aurora,_Indiana"
34°37′19″N,78°36′27″W,/wiki/Battle_of_Elizabethtown,"/wiki/Elizabethtown,_North_Carolina"
37°1′44″N,76°4′5″W,/wiki/Battle_of_the_Chesapeake,/wiki/Virginia_Capes
41°21′20″N,72°05′58″W,/wiki/Battle_of_Groton_Heights,"/wiki/New_London,_Connecticut"
33°26′N,80°48′W,/wiki/Battle_of_Eutaw_Springs,"/wiki/Orangeburg_County,_South_Carolina"
36°02′N,79°24′W,/wiki/Battle_of_Lindley%27s_Mill,"/wiki/Alamance_County,_North_Carolina"
37°59′56″N,85°40′41″W,/wiki/Long_Run_Massacre,/wiki/Floyd%27s_Fork
37°16′12″N,76°29′55″W,/wiki/Siege_of_Yorktown,"/wiki/Gloucester_Point,_Virginia"
40°54′21″N,73°18′4″W,/wiki/Battle_of_Fort_Slongo,"/wiki/Fort_Salonga,_New_York"
34°48′17″N,79°10′56″W,/wiki/Battle_of_Raft_Swamp,"/wiki/Red_Springs,_North_Carolina"
43°0′26″N,74°22′20″W,/wiki/Battle_of_Johnstown,"/wiki/Johnstown_(city),_New_York"
48°27′40″N,5°05′00″W,/wiki/Battle_of_Ushant_(1781),/wiki/Ushant
33°13′N,79°57′W,/wiki/Battle_of_Videau%27s_Bridge,"/wiki/Berkeley_County,_South_Carolina"
17°20′N,62°45′W,/wiki/Siege_of_Brimstone_Hill,/wiki/Saint_Kitts_and_Nevis
18°10′48″N,77°24′00″W,/wiki/Action_of_15_January_1782,/wiki/Jamaica
6°48′44″N,58°10′12″W,/wiki/Capture_of_Demerara_and_Essequibo,/wiki/Demerara
17°18′N,62°44′W,/wiki/Battle_of_Saint_Kitts,/wiki/Basseterre
16°45′N,62°12′W,/wiki/Capture_of_Montserrat,/wiki/Montserrat
33°13′N,79°57′W,/wiki/Battle_of_Wambaw,"/wiki/Berkeley_County,_South_Carolina"
40°21′36″N,81°25′46″W,/wiki/Gnadenh%C3%BCtten_massacre,"/wiki/Gnadenhutten,_Ohio"
16°23′N,86°24′W,/wiki/Battle_of_Roat%C3%A1n,/wiki/Roat%C3%A1n
35°57′N,5°30′W,/wiki/Action_of_16_March_1782,/wiki/Strait_of_Gibraltar
38°3′24″N,83°56′40″W,/wiki/Battle_of_Little_Mountain,"/wiki/Mount_Sterling,_Kentucky"
38°56′00″N,74°55′17″W,/wiki/Battle_of_Delaware_Bay,"/wiki/Cape_May,_New_Jersey"
15°25′N,61°20′W,/wiki/Battle_of_the_Saintes,/wiki/Dominica
15°56′46″N,84°55′48″W,/wiki/Battle_of_the_Black_River,/wiki/Black_River_(settlement)
18°30′N,67°53′W,/wiki/Battle_of_the_Mona_Passage,/wiki/Mona_Passage
48°27′40″N,5°05′00″W,/wiki/Action_of_20%E2%80%9321_April_1782,/wiki/Ushant
25°02′39″N,77°21′01″W,/wiki/Capture_of_the_Bahamas_(1782),"/wiki/Nassau,_Bahamas"
40°30′N,82°30′W,/wiki/Crawford_expedition,/wiki/Ohio_Country
44°38′51″N,63°35′26″W,/wiki/Naval_battle_off_Halifax,"/wiki/Halifax,_Nova_Scotia"
44°32′25″N,64°14′23″W,"/wiki/Raid_on_Chester,_Nova_Scotia","/wiki/Chester,_Nova_Scotia"
44°22′39″N,64°18′54″W,"/wiki/Raid_on_Lunenburg,_Nova_Scotia_(1782)","/wiki/Lunenburg,_Nova_Scotia"
58°47′49.77″N,94°12′48.34″W,/wiki/Hudson_Bay_Expedition,/wiki/Prince_of_Wales_Fort
38°02′47″N,84°29′49″W,/wiki/Siege_of_Bryan_Station,"/wiki/Lexington,_Kentucky"
37°37′N,83°27′W,/wiki/Battle_of_Blue_Licks,"/wiki/Kentucky_County,_Virginia"
