name,link,date,location
,/wiki/Battle_of_Blue_Licks,"August 19, 1782",Virginia
,/wiki/Battle_of_the_Combahee_River,"August 27, 1782",South Carolina
,/wiki/Action_of_4_September_1782,"September 4, 1782",France
,/wiki/Action_of_5_September_1782,5 September 1782,Long Island
,/wiki/Siege_of_Fort_Henry_(1782),"September 11–13, 1782",Virginia
,/wiki/Great_Siege_of_Gibraltar,"September 13, 1782",Gibraltar
,/wiki/Action_of_15_September_1782,15 September 1782,Delaware Bay
,/wiki/Action_of_18_October_1782,"October 18, 1782",Hispaniola
,/wiki/Battle_of_James_Island,"November 14, 1782",South Carolina
,/wiki/Action_of_6_December_1782,"December 6, 1782",Martinique
,/wiki/Battle_of_the_Delaware_Capes,20 - 21 December 1782,Cape May
,/wiki/Battle_of_Cedar_Bridge,"December 27, 1782",New Jersey
,/wiki/Action_of_2_January_1783,"January 2, 1783",Hispaniola
,/wiki/Action_of_22_January_1783,"January 22, 1783",Virginia
,/wiki/Action_of_15_February_1783,"February 15, 1783",Guadeloupe
,/wiki/Action_of_17_February_1783,17 February 1783,Cuba
,/wiki/Capture_of_the_Bahamas_(1783),14–18 April 1783,Bahamas
,/wiki/Colbert_raid,17 April 1783,Louisiana (present-day Arkansas)
